topic_time_ms,topic_time_us,success,return_code,velocity_x_mps,velocity_y_mps,velocity_z_mps,health
14288,14288000,1,0,0.001102766371332109,-0.002342717722058296,0.0001281124714296311,1
14388,14388000,1,0,0.001336857094429433,-0.002081660088151693,0.0005359019269235432,1
14488,14488000,1,0,0.001414368627592921,-0.002141269855201244,0.0007802306790836155,1
14588,14588000,1,0,0.00129352102521807,-0.001383377821184695,0.0008915766375139356,1
14688,14688000,1,0,0.001510427449829876,-0.000884239561855793,0.0007851395639590919,1
14788,14788000,1,0,0.001773252501152456,-0.0006706033600494266,0.0004665601591113955,1
14888,14888000,1,0,0.002045552479103208,-0.0008889546734280884,0.0004976239870302379,1
14988,14988000,1,0,0.002450598403811455,-0.0008945372537709773,0.0001760076702339575,1
15088,15088000,1,0,0.002356697805225849,-0.001158879022113979,0.000138371076900512,1
15188,15188000,1,0,0.002233717357739806,-0.00091284338850528,0.0002252759004477412,1
15288,15288000,1,0,0.002178564900532365,-0.0008203129400499165,0.0001008662802632898,1
15388,15388000,1,0,0.002093763323500752,-0.0006757701048627496,-0.0003546851221472025,1
15488,15488000,1,0,0.001962646376341581,-0.001150020398199558,-0.0007085322868078947,1
15588,15588000,1,0,0.001302623888477683,-0.001195206656120718,-0.0007111573358997703,1
15688,15688000,1,0,0.001373291946947575,-0.001304079545661807,-0.001132688135839999,1
15788,15788000,1,0,0.001375787309370935,-0.00090567342704162,-0.001344690332189202,1
15888,15888000,1,0,0.001420196727849543,-0.0005939657567068934,-0.001290232874453068,1
15988,15988000,1,0,0.001422329340130091,-0.0002015524660237134,-0.001324607408605516,1
16088,16088000,1,0,0.001920305076055229,-0.0001368189114145935,-0.001386357471346855,1
16188,16188000,1,0,0.001764458720572293,3.86572428396903e-05,-0.001174757955595851,1
16288,16288000,1,0,0.001408528420142829,-8.263405470643193e-05,-0.0009241694933734834,1
16388,16388000,1,0,0.0006839062552899122,0.0002530988131184131,-0.000572257733438164,1
16488,16488000,1,0,-3.525246938806958e-05,0.0002535799576435238,-0.0003047625068575144,1
16588,16588000,1,0,-0.0002483335556462407,0.0002520426642149687,-0.0002250314282719046,1
16688,16688000,1,0,-0.0005442154360935092,0.0004315802070777863,-0.0004564345290418714,1
16788,16788000,1,0,-0.0003616459725890309,0.0007852535345591605,-0.0004343897744547576,1
16888,16888000,1,0,-0.0004944133688695729,0.001171979820355773,-0.0004658866091631353,1
16988,16988000,1,0,-0.0006934848497621715,0.0009896164992824197,-0.0005855904310010374,1
17088,17088000,1,0,-0.0004104697145521641,0.0007001895573921502,-0.0005996670806780457,1
17187,17187000,1,0,-0.0006361714331433177,0.0008948553586378694,-0.0009639628697186708,1
17287,17287000,1,0,-0.0004800313618034124,0.0005637681460939348,-0.0009041356388479471,1
17388,17388000,1,0,-0.0005425939452834427,0.0003000806900672615,-0.001234756433404982,1
17488,17488000,1,0,-0.0009226230322383344,0.0007814550190232694,-0.00135589437559247,1
17588,17588000,1,0,-0.000811959442216903,0.0005988694028928876,-0.001391121768392622,1
17688,17688000,1,0,-0.0007731574005447328,0.0002299348125234246,-0.001394405961036682,1
17788,17788000,1,0,-0.000849918695166707,-9.991627302952111e-05,-0.001676034065894783,1
17888,17888000,1,0,-0.001072442741133273,0.0001483500964241102,-0.00179402285721153,1
17988,17988000,1,0,-0.001465206616558135,0.000732169602997601,-0.001411395729519427,1
18088,18088000,1,0,-0.001876371796242893,0.0008057133527472615,-0.001408162410371006,1
18188,18188000,1,0,-0.001565068843774498,0.001232229988090694,-0.001366580952890217,1
18287,18287000,1,0,-0.001848775427788496,0.001351649174466729,-0.001354545704089105,1
18388,18388000,1,0,-0.002085954183712602,0.0009837368270382285,-0.001305819721892476,1
18488,18488000,1,0,-0.002003422006964684,0.001378167537041008,-0.001668493845500052,1
