receive_osal_time_us,estimated_measurement_osal_time_us,sequence_number,estimated_period_us,time_estimate_ready,time_discontinuity_detected,angle_deg,distance_m,signal_strength,measurement_valid
11614471,11612486,3171,1990.719277247518,1,0,-2.839999914169312,1.149999976158142,100,1
11616462,11614476,3172,1990.719277247518,1,0,-3.740000009536743,1.149999976158142,100,1
11618486,11616467,3173,1990.719277247518,1,0,-4.639999866485596,1.139999985694885,100,1
11620478,11618458,3174,1990.719277247518,1,0,-5.550000190734863,1.139999985694885,100,1
11622463,11620448,3175,1990.719277247518,1,0,-6.449999809265137,1.129999995231628,100,1
11624415,11622439,3176,1990.719277247518,1,0,-7.800000190734863,1.120000004768372,100,1
11626524,11624430,3177,1990.719277247518,1,0,-8.699999809265137,1.120000004768372,100,1
11628525,11626421,3178,1990.719277247518,1,0,-9.590000152587891,1.120000004768372,100,1
11630391,11628411,3179,1990.719277247518,1,0,-10.5,1.110000014305115,100,1
11632391,11630402,3180,1990.719277247518,1,0,-11.85000038146973,1.100000023841858,100,1
11634335,11632393,3181,1990.719277247518,1,0,-12.75,1.100000023841858,100,1
11636336,11634383,3182,1990.719277247518,1,0,-13.64999961853027,1.080000042915344,100,1
11638318,11636374,3183,1990.719277247518,1,0,-14.55000019073486,1.049999952316284,100,1
11640316,11638365,3184,1990.719277247518,1,0,-15.44999980926514,0.6399999856948853,100,1
11642333,11640356,3185,1990.719277247518,1,0,-16.79000091552734,0.4799999892711639,100,1
11644288,11642346,3186,1990.719277247518,1,0,-17.69000053405762,0.4699999988079071,100,1
11646292,11644337,3187,1990.719277247518,1,0,-18.59000015258789,0.4699999988079071,100,1
11648262,11646328,3188,1990.719277247518,1,0,-19.48999977111816,0.4600000083446503,100,1
11650260,11648319,3189,1990.719277247518,1,0,-20.84000015258789,0.449999988079071,100,1
11652271,11650309,3190,1990.719277247518,1,0,-21.73999977111816,0.4600000083446503,100,1
11654255,11652300,3191,1990.719277247518,1,0,-22.63999938964844,0.449999988079071,100,1
11656256,11654291,3192,1990.719277247518,1,0,-23.54999923706055,0.449999988079071,100,1
11658260,11656281,3193,1990.719277247518,1,0,-24.45000076293945,0.4600000083446503,100,1
11660222,11658272,3194,1990.719277247518,1,0,-25.79999923706055,0.4600000083446503,100,1
11662227,11660263,3195,1990.719277247518,1,0,-26.70000076293945,0.4699999988079071,100,1
11664197,11662254,3196,1990.719277247518,1,0,-27.59000015258789,0.4699999988079071,100,1
11666208,11664244,3197,1990.719277247518,1,0,-28.48999977111816,0.4600000083446503,100,1
11668187,11666235,3198,1990.719277247518,1,0,-29.84000015258789,0.4600000083446503,100,1
11670186,11668226,3199,1990.719277247518,1,0,-30.73999977111816,0.449999988079071,100,1
11672186,11670213,3200,1990.627421798014,1,0,-31.19000053405762,0.4399999976158142,100,1
11674197,11672204,3201,1990.627421798014,1,0,-32.09000015258789,0.4399999976158142,100,1
11676206,11674195,3202,1990.627421798014,1,0,-32.54999923706055,0.449999988079071,100,1
11678199,11676185,3203,1990.627421798014,1,0,-33.43999862670898,0.4600000083446503,100,1
11680167,11678176,3204,1990.627421798014,1,0,-33.88999938964844,0.4600000083446503,100,1
11682174,11680167,3205,1990.627421798014,1,0,-34.34000015258789,0.449999988079071,100,1
11684141,11682157,3206,1990.627421798014,1,0,-34.79999923706055,0.4600000083446503,100,1
11686107,11684148,3207,1990.627421798014,1,0,-35.25,0.4600000083446503,100,1
11688107,11686138,3208,1990.627421798014,1,0,-35.68999862670898,0.4600000083446503,100,1
11690094,11688129,3209,1990.627421798014,1,0,-36.13999938964844,0.4600000083446503,100,1
11692104,11690120,3210,1990.627421798014,1,0,-36.59000015258789,0.4699999988079071,100,1
11694096,11692110,3211,1990.627421798014,1,0,-37.04999923706055,0.4699999988079071,100,1
11696105,11694101,3212,1990.627421798014,1,0,-37.04999923706055,0.449999988079071,100,1
11698114,11696092,3213,1990.627421798014,1,0,-37.5,0.449999988079071,100,1
11700036,11698082,3214,1990.627421798014,1,0,-37.93999862670898,654.3599853515625,0,0
